application_date,business_age,annual_revenue,credit_score,loan_amount,existing_debt,debt_to_income_ratio,loan_to_income_ratio,default_probability,default,industry
2021-01-01,4.0,377206,819.0,381072,202043,0.54,1.01,0.39,1,Retail
2021-01-02,18.0,1725124,727.0,195609,223420,0.13,0.11,0.2,0,Retail
2021-01-03,10.0,1145110,612.0,106774,51358,0.04,0.09,0.203,1,Retail
2021-01-04,6.0,429298,735.0,180450,68868,0.16,0.42,0.319,0,Manufacturing
2021-01-05,9.0,471050,720.0,359451,55203,0.12,0.76,0.101,0,Other
2021-01-06,9.0,343588,527.0,208025,254512,0.74,0.61,0.734,1,Manufacturing
2021-01-07,17.0,1367275,685.0,402625,191803,0.14,0.29,0.265,0,Services
2021-01-08,14.0,834568,518.0,395573,34422,0.04,0.47,0.27,0,Retail
2021-01-09,18.0,1909543,665.0,205452,130646,0.07,0.11,0.397,1,Services
2021-01-10,11.0,1908134,746.0,45594,244052,0.13,0.02,0.172,0,Retail
2021-01-11,13.0,1885391,684.0,344331,253141,0.13,0.18,0.038,0,Retail
2021-01-12,14.0,889560,548.0,261052,94402,0.11,0.29,0.404,1,Other
2021-01-13,10.0,253774,756.0,437599,229793,0.91,1.72,0.686,1,Manufacturing
2021-01-14,16.0,1831717,510.0,245076,260167,0.14,0.13,0.408,1,Manufacturing
2021-01-15,3.0,1548139,657.0,220278,229855,0.15,0.14,0.22,1,Manufacturing
2021-01-16,19.0,1777183,662.0,243166,272440,0.15,0.14,0.138,0,Manufacturing
2021-01-17,15.0,794479,824.0,290395,65417,0.08,0.37,0.021,0,Retail
2021-01-18,7.0,1732741,650.0,214361,168587,0.1,0.12,0.164,1,Retail
2021-01-19,10.0,1005844,581.0,437582,204487,0.2,0.44,0.368,0,Retail
2021-01-20,5.0,1598979,674.0,181299,209302,0.13,0.11,0.275,1,Manufacturing
2021-01-21,8.0,1208103,586.0,323435,148416,0.12,0.27,0.189,0,Retail
2021-01-22,11.0,1838502,608.0,391106,51875,0.03,0.21,0.262,0,Manufacturing
2021-01-23,10.0,346465,725.0,437014,104760,0.3,1.26,0.109,0,Other
2021-01-24,3.0,166215,556.0,484342,3726,0.02,2.91,0.931,1,Services
2021-01-25,7.0,489573,606.0,408663,20785,0.04,0.83,0.317,1,Retail
2021-01-26,10.0,1345936,532.0,355900,230176,0.17,0.26,0.44,1,Retail
2021-01-27,6.0,1448247,585.0,183483,30136,0.02,0.13,0.356,1,Manufacturing
2021-01-28,15.0,1039359,585.0,281383,123396,0.12,0.27,0.345,1,Retail
2021-01-29,18.0,216481,699.0,336923,5105,0.02,1.56,0.454,1,Other
2021-01-30,12.0,1021440,691.0,292263,228318,0.22,0.29,0.341,0,Services
2021-01-31,16.0,430820,848.0,427674,199992,0.46,0.99,0.219,0,Retail
2021-02-01,12.0,79109,696.0,70044,12536,0.16,0.89,0.222,1,Services
2021-02-02,14.0,1871859,765.0,147199,174985,0.09,0.08,0.05,0,Other
2021-02-03,9.0,1160096,658.0,249343,244085,0.21,0.21,0.236,0,Other
2021-02-04,16.0,1230778,836.0,199143,160580,0.13,0.16,0.08,1,Other
2021-02-05,11.0,1796396,617.0,230577,209155,0.12,0.13,0.271,0,Services
2021-02-06,1.0,1466292,849.0,149676,185727,0.13,0.1,0.0,0,Services
2021-02-07,8.0,117229,627.0,87098,11541,0.1,0.74,0.425,1,Retail
2021-02-08,14.0,977889,826.0,249102,8810,0.01,0.25,0.041,0,Other
2021-02-09,3.0,788751,665.0,206565,220062,0.28,0.26,0.405,1,Retail
2021-02-10,7.0,1318158,680.0,356263,123929,0.09,0.27,0.148,0,Manufacturing
2021-02-11,8.0,772199,701.0,183573,245384,0.32,0.24,0.321,1,Other
2021-02-12,5.0,1033932,841.0,74060,260455,0.25,0.07,0.0,0,Retail
2021-02-13,7.0,1415713,788.0,182543,211994,0.15,0.13,0.15,0,Services
2021-02-14,5.0,564637,651.0,43805,275640,0.49,0.08,0.468,1,Manufacturing
2021-02-15,6.0,1792739,847.0,358429,65946,0.04,0.2,0.0,0,Manufacturing
2021-02-16,12.0,1450717,508.0,403648,292036,0.2,0.28,0.495,1,Retail
2021-02-17,3.0,727705,571.0,178971,231018,0.32,0.25,0.468,1,Services
2021-02-18,19.0,411869,843.0,45564,46748,0.11,0.11,0.159,0,Services
2021-02-19,7.0,1777878,763.0,201815,146627,0.08,0.11,0.201,0,Other
2021-02-20,8.0,969401,766.0,404509,135108,0.14,0.42,0.101,0,Manufacturing
2021-02-21,15.0,472329,546.0,134757,62496,0.13,0.29,0.456,1,Other
2021-02-22,10.0,539562,551.0,184714,77856,0.14,0.34,0.51,1,Retail
2021-02-23,7.0,879583,600.0,19883,17267,0.02,0.02,0.229,0,Other
2021-02-24,1.0,581668,732.0,210199,136191,0.23,0.36,0.223,0,Other
2021-02-25,10.0,479232,519.0,493461,54731,0.11,1.03,0.475,1,Other
2021-02-26,3.0,1144398,736.0,416280,91261,0.08,0.36,0.058,0,Manufacturing
2021-02-27,8.0,1369119,575.0,380700,247846,0.18,0.28,0.338,0,Services
2021-02-28,10.0,85504,804.0,239130,51770,0.61,2.8,0.811,1,Manufacturing
2021-03-01,3.0,1690574,814.0,411752,203383,0.12,0.24,0.0,0,Services
2021-03-02,7.0,751490,561.0,294008,288624,0.38,0.39,0.437,0,Retail
2021-03-03,11.0,1809862,774.0,228094,125154,0.07,0.13,0.026,0,Retail
2021-03-04,17.0,736141,618.0,281927,53322,0.07,0.38,0.167,1,Manufacturing
2021-03-05,10.0,1590032,672.0,298097,112923,0.07,0.19,0.077,0,Other
2021-03-06,17.0,1546815,778.0,430788,121912,0.08,0.28,0.022,0,Manufacturing
2021-03-07,17.0,1452448,540.0,56757,147772,0.1,0.04,0.152,0,Retail
2021-03-08,15.0,1482572,602.0,471740,124550,0.08,0.32,0.436,1,Retail
2021-03-09,10.0,1912202,547.0,84760,82879,0.04,0.04,0.346,1,Retail
2021-03-10,3.0,328119,754.0,134743,76621,0.23,0.41,0.282,0,Other
2021-03-11,3.0,177404,766.0,283349,60515,0.34,1.6,0.575,1,Other
2021-03-12,7.0,990038,799.0,182876,114151,0.12,0.18,0.118,1,Services
2021-03-13,6.0,695819,639.0,348969,207420,0.3,0.5,0.534,1,Other
2021-03-14,3.0,200510,684.0,77596,262248,1.31,0.39,0.722,1,Manufacturing
2021-03-15,4.0,128851,567.0,456152,241918,1.88,3.54,1.0,1,Services
2021-03-16,12.0,1188747,644.0,78750,78688,0.07,0.07,0.252,1,Retail
2021-03-17,12.0,1010619,818.0,46590,26961,0.03,0.05,0.03,0,Manufacturing
2021-03-18,15.0,630829,753.0,411577,94846,0.15,0.65,0.121,0,Retail
2021-03-19,9.0,856974,680.0,486055,276066,0.32,0.57,0.485,1,Retail
2021-03-20,15.0,303644,763.0,252186,115608,0.38,0.83,0.308,1,Manufacturing
2021-03-21,8.0,1705525,705.0,293669,90508,0.05,0.17,0.115,1,Services
2021-03-22,16.0,1896096,604.0,44584,174654,0.09,0.02,0.147,1,Manufacturing
2021-03-23,9.0,1753767,551.0,37701,45817,0.03,0.02,0.367,1,Services
2021-03-24,17.0,1878016,511.0,368066,86650,0.05,0.2,0.391,1,Manufacturing
2021-03-25,12.0,1275262,759.0,365803,16020,0.01,0.29,0.0,0,Services
2021-03-26,16.0,1690510,731.0,304761,243414,0.14,0.18,0.097,0,Other
2021-03-27,4.0,1793309,785.0,269136,13842,0.01,0.15,0.107,1,Other
2021-03-28,1.0,1739128,579.0,473987,188768,0.11,0.27,0.438,1,Manufacturing
2021-03-29,10.0,1557746,639.0,35400,151742,0.1,0.02,0.238,1,Manufacturing
2021-03-30,17.0,915825,673.0,156854,186472,0.2,0.17,0.108,0,Services
2021-03-31,11.0,1227039,584.0,19092,18509,0.02,0.02,0.178,1,Other
2021-04-01,2.0,1579203,588.0,362938,219742,0.14,0.23,0.367,1,Retail
2021-04-02,14.0,743240,563.0,316563,20116,0.03,0.43,0.374,1,Services
2021-04-03,3.0,1435092,831.0,28427,228407,0.16,0.02,0.126,0,Other
2021-04-04,7.0,454282,583.0,142805,259253,0.57,0.31,0.519,1,Services
2021-04-05,8.0,769598,538.0,431862,20644,0.03,0.56,0.303,1,Services
2021-04-06,9.0,1873666,846.0,410504,195799,0.1,0.22,0.0,0,Manufacturing
2021-04-07,3.0,1076984,806.0,207092,199113,0.18,0.19,0.095,0,Other
2021-04-08,10.0,1918166,531.0,138925,267831,0.14,0.07,0.357,1,Retail
2021-04-09,14.0,824869,799.0,200282,14699,0.02,0.24,0.059,0,Services
2021-04-10,13.0,1455849,527.0,16655,170207,0.12,0.01,0.204,0,Services
2021-04-11,18.0,80751,778.0,339314,80812,1.0,4.2,1.0,1,Services
2021-04-12,4.0,1617071,803.0,357476,117862,0.07,0.22,0.188,1,Other
2021-04-13,13.0,1734332,694.0,308225,168259,0.1,0.18,0.124,0,Services
2021-04-14,1.0,1472906,554.0,187698,151551,0.1,0.13,0.382,1,Retail
2021-04-15,17.0,1023726,512.0,358759,285026,0.28,0.35,0.486,1,Services
2021-04-16,7.0,339407,718.0,294463,455,0.0,0.87,0.262,0,Retail
2021-04-17,8.0,1668125,641.0,285934,117894,0.07,0.17,0.321,1,Services
2021-04-18,2.0,1480728,831.0,297015,173422,0.12,0.2,0.208,1,Manufacturing
2021-04-19,1.0,779661,,52665,53170,0.07,0.07,0.236,0,Other
2021-04-20,16.0,463271,547.0,433483,181511,0.39,0.94,0.705,1,Manufacturing
2021-04-21,10.0,618411,618.0,240384,115923,0.19,0.39,0.097,0,Other
2021-04-22,15.0,1985498,704.0,94636,105469,0.05,0.05,0.253,0,Services
2021-04-23,14.0,1548537,816.0,80131,139472,0.09,0.05,0.051,0,Services
2021-04-24,11.0,1883602,568.0,90649,160865,0.09,0.05,0.281,0,Manufacturing
2021-04-25,3.0,583511,809.0,44895,94437,0.16,0.08,0.095,0,Manufacturing
2021-04-26,3.0,1343949,564.0,337398,201059,0.15,0.25,0.182,1,Retail
2021-04-27,13.0,1108538,639.0,232555,136646,0.12,0.21,0.333,0,Other
2021-04-28,3.0,606550,507.0,349227,92114,0.15,0.58,0.62,1,Other
2021-04-29,8.0,1601564,836.0,292106,26997,0.02,0.18,0.0,0,Manufacturing
2021-04-30,8.0,1364359,846.0,320264,88761,0.07,0.23,0.0,0,Other
2021-05-01,8.0,1347649,592.0,493755,290927,0.22,0.37,0.206,1,Other
2021-05-02,11.0,1792102,681.0,259841,5826,0.0,0.14,0.117,0,Manufacturing
2021-05-03,17.0,1464875,554.0,194119,5226,0.0,0.13,0.275,1,Manufacturing
2021-05-04,4.0,1597350,725.0,357691,249337,0.16,0.22,0.189,1,Other
2021-05-05,19.0,315664,528.0,179365,61345,0.19,0.57,0.247,1,Manufacturing
