date,day_of_week,is_weekend,is_holiday,average_temperature,marketing_spend,revenue,month,day_of_month
2023-01-01,Sunday,1,False,69,10.12,808.36,1,1
2023-01-02,Monday,0,False,63,8.53,642.04,1,2
2023-01-03,Tuesday,0,False,71,29.55,995.76,1,3
2023-01-04,Wednesday,0,False,80,16.8,776.94,1,4
2023-01-05,Thursday,0,False,62,35.56,1035.6,1,5
2023-01-06,Friday,0,False,62,29.33,931.58,1,6
2023-01-07,Saturday,1,False,80,18.95,984.13,1,7
2023-01-08,Sunday,1,False,72,10.2,785.35,1,8
2023-01-09,Monday,0,False,60,5.98,575.93,1,9
2023-01-10,Tuesday,0,False,70,14.05,750.65,1,10
2023-01-11,Wednesday,0,False,60,39.85,1155.31,1,11
2023-01-12,Thursday,0,False,60,23.84,890.56,1,12
2023-01-13,Friday,0,False,67,7.41,724.81,1,13
2023-01-14,Saturday,1,False,45,23.07,897.68,1,14
2023-01-15,Sunday,1,False,47,27.34,1049.72,1,15
2023-01-16,Monday,0,False,59,9.9,639.67,1,16
2023-01-17,Tuesday,0,False,54,22.71,917.14,1,17
2023-01-18,Wednesday,0,False,68,21.04,784.19,1,18
2023-01-19,Thursday,0,False,55,8.05,548.76,1,19
2023-01-20,Friday,0,False,50,26.74,826.13,1,20
2023-01-21,Saturday,1,False,79,31.46,1057.71,1,21
2023-01-22,Sunday,1,False,62,47.77,1331.26,1,22
2023-01-23,Monday,0,False,65,46.67,1162.09,1,23
2023-01-24,Tuesday,0,False,50,6.67,562.57,1,24
2023-01-25,Wednesday,0,False,59,9.49,641.44,1,25
2023-01-26,Thursday,0,False,66,30.33,1051.76,1,26
2023-01-27,Friday,0,False,53,30.3,966.02,1,27
2023-01-28,Saturday,1,False,68,30.33,1085.1,1,28
2023-01-29,Sunday,1,False,58,437.99,7153.93,1,29
2023-01-30,Monday,0,False,62,31.71,991.25,1,30
2023-01-31,Tuesday,0,False,58,49.82,1160.29,1,31
2023-02-01,Wednesday,0,False,83,43.09,1291.92,2,1
2023-02-02,Thursday,0,False,64,33.82,1063.27,2,2
2023-02-03,Friday,0,False,54,15.61,677.69,2,3
2023-02-04,Saturday,1,False,73,36.86,1141.24,2,4
2023-02-05,Sunday,1,False,52,10.82,840.99,2,5
2023-02-06,Monday,0,False,67,16.62,749.57,2,6
2023-02-07,Tuesday,0,False,45,13.62,706.19,2,7
2023-02-08,Wednesday,0,False,51,21.45,700.03,2,8
2023-02-09,Thursday,0,False,66,127.96,2392.43,2,9
2023-02-10,Friday,0,False,72,4.51,588.91,2,10
2023-02-11,Saturday,1,False,66,34.78,1177.05,2,11
2023-02-12,Sunday,1,False,63,5.53,704.45,2,12
2023-02-13,Monday,0,False,61,13.77,725.69,2,13
2023-02-14,Tuesday,0,False,50,48.0,1121.62,2,14
2023-02-15,Wednesday,0,False,57,21.15,786.13,2,15
2023-02-16,Thursday,0,False,60,8.48,618.21,2,16
2023-02-17,Friday,0,False,75,11.33,725.67,2,17
2023-02-18,Saturday,1,False,68,34.59,1213.43,2,18
2023-02-19,Sunday,1,False,47,11.2,707.77,2,19
2023-02-20,Monday,0,False,68,23.88,790.49,2,20
2023-02-21,Tuesday,0,False,61,20.83,864.33,2,21
2023-02-22,Wednesday,0,False,58,11.93,674.57,2,22
2023-02-23,Thursday,0,False,71,111.63,2155.03,2,23
2023-02-24,Friday,0,False,75,33.35,1107.81,2,24
2023-02-25,Saturday,1,False,74,3.97,742.33,2,25
2023-02-26,Sunday,1,False,56,23.32,1031.76,2,26
2023-02-27,Monday,0,False,61,11.83,668.83,2,27
2023-02-28,Tuesday,0,False,68,39.72,1207.84,2,28
2023-03-01,Wednesday,0,False,74,10.65,774.52,3,1
2023-03-02,Thursday,0,False,60,18.32,747.35,3,2
2023-03-03,Friday,0,False,63,30.08,993.78,3,3
2023-03-04,Saturday,1,False,53,40.15,1248.52,3,4
2023-03-05,Sunday,1,False,53,7.69,797.78,3,5
2023-03-06,Monday,0,False,73,15.37,706.3,3,6
2023-03-07,Tuesday,0,False,78,13.74,779.4,3,7
2023-03-08,Wednesday,0,False,64,11.91,728.57,3,8
2023-03-09,Thursday,0,False,75,82.46,1678.96,3,9
2023-03-10,Friday,0,False,68,27.77,866.39,3,10
2023-03-11,Saturday,1,False,58,7.32,636.84,3,11
2023-03-12,Sunday,1,False,68,41.86,1273.43,3,12
2023-03-13,Monday,0,False,80,109.7,2226.38,3,13
2023-03-14,Tuesday,0,False,64,45.88,1260.32,3,14
2023-03-15,Wednesday,0,False,80,5.96,638.1,3,15
2023-03-16,Thursday,0,False,38,13.63,704.88,3,16
2023-03-17,Friday,0,False,73,55.34,1285.09,3,17
2023-03-18,Saturday,1,False,65,11.4,735.83,3,18
2023-03-19,Sunday,1,False,62,28.65,1067.97,3,19
2023-03-20,Monday,0,False,65,37.33,1079.15,3,20
2023-03-21,Tuesday,0,False,45,9.57,581.92,3,21
2023-03-22,Wednesday,0,False,62,19.15,674.88,3,22
2023-03-23,Thursday,0,False,68,1.5,527.04,3,23
2023-03-24,Friday,0,False,79,8.85,609.53,3,24
2023-03-25,Saturday,1,False,59,16.41,911.63,3,25
2023-03-26,Sunday,1,False,56,7.4,752.33,3,26
2023-03-27,Monday,0,False,59,74.14,1547.11,3,27
2023-03-28,Tuesday,0,False,74,6.4,597.31,3,28
2023-03-29,Wednesday,0,False,68,14.13,667.99,3,29
2023-03-30,Thursday,0,False,59,22.3,813.37,3,30
2023-03-31,Friday,0,False,70,63.63,1517.21,3,31
2023-04-01,Saturday,1,False,65,6.37,696.26,4,1
2023-04-02,Sunday,1,False,74,50.93,1466.15,4,2
2023-04-03,Monday,0,False,57,20.25,753.24,4,3
2023-04-04,Tuesday,0,False,61,9.16,585.76,4,4
